y_true,oof_mu,oof_sigma,oof_mu_p,conf_lower,conf_upper,abs_err,trust_sigma,trust_knn,trust_lev
0.848,0.8618471316197572,0.05441623976859401,0.8372782022164007,0.5684599506484571,1.1552343125910574,0.013847131619757258,0,1,1
0.0,0.07310844368446115,0.05250673878689727,0.20136791037964752,-0.22157442569433103,0.3677913130632533,0.07310844368446115,0,1,1
0.0,-0.0323485278071466,0.03726526769765977,0.06172827366200373,-0.32703139718593877,0.2623343415716456,0.0323485278071466,0,1,1
0.2239999999999999,0.3027255614298811,0.040144979405934034,0.2948346490244925,0.03669365868828567,0.5687574641714765,0.07872556142988121,0,1,1
0.0,0.07946367256297507,0.046253370780467734,0.2855747081652573,-0.18656823017862037,0.34549557530457053,0.07946367256297507,0,1,1
0.7859999999999999,0.7481027967827836,0.05298644779229993,0.7412572176955814,0.48207089404118814,1.014134699524379,0.037897203217216346,0,0,0
0.221,0.2595830221343865,0.04983458710975439,0.4311587526529781,-0.0333893525078115,0.5525553967765845,0.038583022134386497,0,1,1
0.262,0.1345906659386125,0.04219218881615671,0.22532442745155007,-0.15879651503268757,0.4279778469099126,0.12740933406138752,0,0,1
0.027,0.4905203859891907,0.044290496116959885,0.5525943197349839,0.18096397569076156,0.8000767962876199,0.46352038598919065,0,1,1
0.1169999999999999,0.5127678875488483,0.04408275571068934,0.6022042716674689,0.24673598480725284,0.7787997902904438,0.3957678875488484,0,1,1
0.061,0.056849125847375864,0.02116014638739336,0.13792178677740785,-0.20918277689421957,0.3228810285889713,0.004150874152624134,1,1,1
0.6859999999999999,0.6686331594270168,0.03441237549036209,0.742260132929047,0.37395029004822467,0.963316028805809,0.0173668405729831,1,1,1
0.0,-0.029136409788575346,0.028737610217536166,-0.11644423540659922,-0.33869282008700446,0.2804200005098538,0.029136409788575346,1,1,1
0.0,-0.09597727370700115,0.019445804364250453,-0.12839878579187625,-0.39066014308579333,0.19870559567179102,0.09597727370700115,1,1,1
