y_true,oof_mu,oof_sigma,oof_mu_p,conf_lower,conf_upper,abs_err,trust_sigma
-2.732,-2.57540357690031,0.06951929063956813,-2.6207129228596653,-2.90427593026248,-2.2465312235381396,0.15659642309969035,0
-1.957,-2.113106971783976,0.05794501873382843,-2.030555509985307,-2.4436651086821106,-1.7825488348858416,0.15610697178397603,0
-3.532,-3.504167917495389,0.054026010575492035,-1.9871437558166698,-3.8347260543935233,-3.1736097805972543,0.027832082504611222,0
-2.398,-2.295385528720302,0.09888233332667637,-2.0146269257557208,-2.6016410298906485,-1.989130027549956,0.10261447127969792,0
-2.006,-2.1013335252104173,0.11313823120364061,-1.5639943539928218,-2.4075890263807636,-1.795078024040071,0.09533352521041749,0
-2.316,-2.3371376279033567,0.04921629354853047,-2.358447317639695,-2.643393129073703,-2.0308821267330104,0.021137627903356826,1
-2.741,-2.740462561937646,0.025542732296480106,-2.588661458949402,-3.0760376592657446,-2.4048874646095477,0.0005374380623539565,1
-2.715,-3.0871703563215336,0.04359552059511443,-2.7098196864331743,-3.416042709683704,-2.7582980029593633,0.3721703563215337,1
-2.5,-1.9695214909816487,0.07297336175339393,-1.9575375133712092,-2.3213489454728062,-1.617694036490491,0.5304785090183513,0
-2.964,-2.5187641728917383,0.13649958001603407,-2.4189321854553585,-2.8250196740620845,-2.212508671721392,0.4452358271082617,0
-2.224,-2.3015985226192197,0.035372799941820174,-2.012031161303234,-2.607854023789566,-1.9953430214488734,0.07759852261921951,1
-2.864,-2.885444322644723,0.052551031035612386,-2.585112014349085,-3.2160024595428576,-2.5548861857465885,0.02144432264472318,0
-2.426,-2.5028235814413016,0.032921217223530065,-2.203469626219877,-2.8546510359324593,-2.150996126950144,0.07682358144130141,1
-3.138,-3.072245438023381,0.019405397737505756,-2.4071172760216575,-3.4028035749215153,-2.7416873011252463,0.06575456197661911,1
-1.602,-2.0152304268853025,0.07164037643685943,-2.6318530402216194,-2.350805524213401,-1.679655329557204,0.4132304268853024,0
-2.241,-2.4869150261678445,0.036111572485002304,-2.030555509985307,-2.817473163065979,-2.15635688926971,0.24591502616784444,1
-3.712,-3.5452775681425295,0.0384309472580171,-2.7024684706520423,-3.8515330693128758,-3.239022066972183,0.1667224318574707,1
